,Name,Position,Born,Team,Height,Nationality,Weight,Match Played,Points,Career Best Points,Not Out Percentage,Raids,Successful Raids,Unsuccessful Raids,Empty Raid,Successful_Raid_Per,Raid Touch Points,Raid Bonus Points,Total Raid Points,Super_raids,Super_10s,Tackles,Successful Tackles,Unsuccessful Tackles,Successful Tackles Per Match,Tackle Bonus Points,Tackle Success Rate,Super_tackles,High 5s
41,Naveen Kumar,Raider,14-Feb-00,Dabang Delhi K.C.,5 ft 10 in,India,76 kg,20,258,19,85.29,408,213,60,135,62.74,199,57,256,2,19,6,2,4,0.1,0,33.33,0,0
23,Pawan Kumar,Raider,9-Jul-96,Bengaluru Bulls,5 ft 10 in,India,-,19,256,29,74.05,343,187,89,67,70.55,190,52,242,6,13,29,13,16,0.68,0,48.27,1,0
110,Pardeep Narwal,Raider,16-Feb-97,Patna Pirates,5 ft 10 in,India,80 kg,19,243,26,75.19,383,190,95,98,63.44,215,28,243,12,13,2,0,2,0,0,0,0,0
0,Maninder Singh,Raider,1-Jan-90,Bengal Warriors,6 ft,India,76 kg,20,205,19,82.07,318,171,57,90,64.46,175,30,205,6,10,7,0,7,0,0,0,0,0
173,Siddharth Sirish,Raider,5-Dec-91,Telugu Titans,6 ft 2 in,India,-,18,177,23,72.79,272,143,74,55,63.97,132,42,174,6,7,6,3,3,0.16,0,50,0,0
80,Vikash Kandola,Raider,2-Apr-98,Haryana Steelers,5 ft 7 in,India,68 kg,16,157,13,80.62,320,119,62,139,47.81,134,19,153,6,9,15,4,11,0.25,0,26.66,0,0
6,Naveen Narwal,"Defender, right cover",1-Jan-70,Bengal Warriors,-,India,-,3,1,1,0,0,0,0,0,0,0,0,0,0,0,8,1,7,0.33,0,12.5,0,0
7,Amit,"Defender, right corner",12-Dec-98,Bengal Warriors,5 ft 5 in,India,74 kg,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
8,Baldev Singh,"Defender, right corner",27-May-93,Bengal Warriors,5 ft 10 in,India,74 kg,20,59,7,80,5,0,1,4,0,0,0,0,0,0,105,54,51,2.7,0,56.19,5,6
9,Jeeva Kumar,"Defender, right and left cover",1-Jun-81,Bengal Warriors,5 ft 5 in,India,72 kg,19,32,4,0,0,0,0,0,0,0,0,0,0,0,86,31,55,1.63,0,37.2,1,0
10,Viraj Vishnu,"Defender, left cover",15-Oct-93,Bengal Warriors,5 ft 7 in,India,-,8,7,3,0,0,0,0,0,0,0,0,0,0,0,31,7,24,0.87,0,22.58,0,0
11,Adarsh T,"Defender, left corner",1-Jan-70,Bengal Warriors,-,India,-,9,3,2,0,0,0,0,0,0,0,0,0,0,0,9,3,6,0.33,0,33.33,0,0
12,Dharmendra Singh,"Defender, left corner",3-Feb-94,Bengal Warriors,5 ft 7 in,India,75 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Rinku Narwal,Defender,1-Jan-70,Bengal Warriors,-,India,-,20,53,5,100,3,0,0,3,0,0,0,0,0,0,113,51,62,2.55,0,46.9,2,3
14,Amir Santosh,All Rounder,16-Dec-91,Bengal Warriors,5 ft 7 in,India,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Avinash A.,All Rounder,18-May-91,Bengal Warriors,-,India,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Mohammad Esmaeil,All Rounder,17-Sep-91,Bengal Warriors,-,Iran,-,20,100,10,81.34,193,60,36,97,38.86,67,8,75,3,1,54,23,31,1.15,0,46.29,2,1
